Name,ID,Latitude,Logitude,Elevation,Country,Network,Archive_Begin,Archive_End,Time_Domain
Norwich,EGSH,52.6333,1.3,36.0,GB,GB__ASOS,1987-12-01,,(1987-Now)
Odiham,EGVO,51.2391,-0.945,123.0,GB,GB__ASOS,1972-12-31,,(1972-Now)
Oxford,EGTK,51.8369,-1.32,79.21229,GB,GB__ASOS,2014-07-02,,(2014-Now)
PEMBRY SANDS,EGOP,51.7167,-4.3667,6.0,GB,GB__ASOS,1993-02-28,,(1993-Now)
Penzance,EGHK,50.1282,-5.5186,4.0,GB,GB__ASOS,2005-01-05,2012-10-31,(2005-2012)
Plymouth,EGHD,50.4228,-4.1097,25.0,GB,GB__ASOS,1988-03-18,2012-01-04,(1988-2012)
Prestwick,EGPK,55.5094,-4.5867,20.0,GB,GB__ASOS,1943-12-31,,(1943-Now)
RAF Coltishall,EGYC,52.7547,1.3572,23.0,GB,GB__ASOS,2002-11-11,2006-03-31,(2002-2006)
Saint Mawgan,EGDG,50.4385,-4.9976,102.0,GB,GB__ASOS,2000-01-07,2008-12-01,(2000-2008)
Scampton,EGXP,53.3069,-0.5481,61.0,GB,GB__ASOS,1972-12-31,,(1972-Now)
Scatsta,EGPM,60.4328,-1.2961,22.0,GB,GB__ASOS,1981-10-15,2020-07-01,(1981-2020)
SCILLY/ST.MARYS,EGHE,49.9144,-6.2958,31.0,GB,GB__ASOS,1928-01-01,,(1928-Now)
Shawbury,EGOS,52.7947,-2.6647,76.0,GB,GB__ASOS,1972-12-31,,(1972-Now)
Shoreham By Sea,EGKA,50.8353,-0.2943,2.0,GB,GB__ASOS,1986-12-01,,(1986-Now)
Southampton,EGHI,50.955,-1.3561,10.719363,GB,GB__ASOS,1972-12-31,,(1972-Now)
Southend,EGMC,51.5714,0.6956,15.0,GB,GB__ASOS,1988-01-05,,(1988-Now)
Spadeadam,EGOM,55.05,-2.55,325.0,GB,GB__ASOS,1992-09-11,,(1992-Now)
St. Athan,EGDX,51.4058,-3.4348,50.0,GB,GB__ASOS,2001-07-06,2019-04-01,(2001-2019)
Stornoway,EGPO,58.2156,-6.3311,13.0,GB,GB__ASOS,1929-09-30,,(1929-Now)
Sumburgh,EGPB,59.8789,-1.2956,5.0,GB,GB__ASOS,1977-01-19,,(1977-Now)
TAIN RANGE (SAWS),EGQA,57.8249,-3.9555,4.0,GB,GB__ASOS,1989-10-19,,(1989-Now)
Teesside,EGNV,54.5092,-1.4294,37.0,GB,GB__ASOS,1973-01-01,,(1973-Now)
Tiree,EGPU,56.5,-6.8806,12.0,GB,GB__ASOS,1929-10-01,,(1929-Now)
Topcliffe,EGXZ,54.2055,-1.3821,28.0,GB,GB__ASOS,1994-07-20,,(1994-Now)
Unknown,EGMW,56.3592,-1.4941,-63.0,GB,GB__ASOS,2016-01-08,2017-07-31,(2016-2017)
Waddington,EGXW,53.1754,-0.5233,70.0,GB,GB__ASOS,1950-09-25,,(1950-Now)
Warton,EGNO,53.7451,-2.8831,17.0,GB,GB__ASOS,2011-11-30,,(2011-Now)
Wattisham,EGUW,52.1239,0.9573,87.0,GB,GB__ASOS,1972-12-31,,(1972-Now)
Wick,EGPC,58.4589,-3.0931,39.0,GB,GB__ASOS,1929-09-30,,(1929-Now)
Wittering,EGXT,52.6114,-0.4612,84.0,GB,GB__ASOS,1973-02-28,,(1973-Now)
Woodvale,EGOW,53.5816,-3.0555,12.0,GB,GB__ASOS,2005-06-20,,(2005-Now)
Wyton,EGUY,52.3572,-0.1078,41.0,GB,GB__ASOS,1950-10-02,2019-11-18,(1950-2019)
Yeovilton,EGDY,51.0063,-2.6428,23.0,GB,GB__ASOS,1972-12-31,,(1972-Now)
Yorkshire and Humberside,EGSY,53.3943,-1.3885,68.423706,GB,GB__ASOS,2020-07-21,,(2020-Now)
